name,distance,zip_code,location,Type
Starbucks,797.0,10281,"[40.714207, -74.01571]",starbucks
Starbucks,361.0,10038,"[40.711054, -74.004761]",starbucks
Starbucks,454.0,10013,"[40.718154, -74.007443]",starbucks
Starbucks,286.0,10013,"[40.715842, -74.003205]",starbucks
Starbucks,65.0,10007,"[40.714957, -74.006007]",starbucks
Starbucks,1107.0,10004,"[40.705218, -74.011119]",starbucks
Starbucks,261.0,10007,"[40.713794, -74.009103]",starbucks
Starbucks,303.0,10038,"[40.711598, -74.006572]",starbucks
Starbucks,842.0,10013,"[40.720643, -74.011121]",starbucks
Starbucks,571.0,10038,"[40.710936, -74.001178]",starbucks
Starbucks,1251.0,10004,"[40.704471, -74.012791]",starbucks
Starbucks,752.0,10006,"[40.708778, -74.011086]",starbucks
Starbucks,1055.0,10005,"[40.704784, -74.007262]",starbucks
Starbucks,662.0,10038,"[40.708397, -74.007274]",starbucks
Starbucks,626.0,10013,"[40.719839, -74.004978]",starbucks
Starbucks,1020.0,10006,"[40.705326, -74.011123]",starbucks
Starbucks,1412.0,10004,"[40.703248, -74.014139]",starbucks
Starbucks,293.0,10007,"[40.715528, -74.008823]",starbucks
Starbucks,477.0,10038,"[40.710262, -74.00809]",starbucks
Starbucks,585.0,10013,"[40.718826, -74.002581]",starbucks
Starbucks,1685.0,10014,"[40.729279, -74.004959]",starbucks
Starbucks,3044.0,10011,"[40.741623, -74.005316]",starbucks
Starbucks,1482.0,10012,"[40.726874, -74.000192]",starbucks
Starbucks,1140.0,10012,"[40.722492, -73.997896]",starbucks
Starbucks,2652.0,07310,"[40.726299, -74.033087]",starbucks
Starbucks,838.0,10013,"[40.71973, -73.999081]",starbucks
Starbucks,1113.0,10005,"[40.704571, -74.00913]",starbucks
Starbucks,2116.0,10014,"[40.733063, -74.002707]",starbucks
Starbucks,2914.0,10014,"[40.740445, -74.005008]",starbucks
Starbucks,1806.0,11201,"[40.702692, -73.99099]",starbucks
Starbucks,1456.0,10002,"[40.719332, -73.989898]",starbucks
Starbucks,1686.0,10012,"[40.72727, -73.995536]",starbucks
Starbucks,2304.0,07302,"[40.715827, -74.033365]",starbucks
Starbucks,1405.0,10004,"[40.702173, -74.012046]",starbucks
Starbucks,1272.0,10013,"[40.725757, -74.005561]",starbucks
Starbucks,2126.0,10003,"[40.730073, -73.99163]",starbucks
Starbucks,2412.0,11201,"[40.694525, -73.993898]",starbucks
Starbucks,3104.0,11201,"[40.690797, -73.986204]",starbucks
Starbucks,3058.0,07302,"[40.719428, -74.041672]",starbucks
Starbucks,645.0,10007,"[40.710323, -74.011802]",starbucks
Starbucks,4077.0,10001,"[40.749124, -73.991375]",starbucks
Starbucks,2899.0,11201,"[40.691703, -73.988596]",starbucks
Starbucks,3271.0,11201,"[40.689191, -73.985793]",starbucks
Starbucks,2949.0,07310,"[40.72872, -74.03528]",starbucks
Starbucks,3194.0,11201,"[40.691112, -73.982552]",starbucks
Starbucks,1911.0,10003,"[40.724786, -73.987668]",starbucks
Starbucks,3575.0,07030,"[40.740618, -74.030256]",starbucks
Starbucks,2649.0,10011,"[40.737058, -73.996621]",starbucks
Starbucks,885.0,10005,"[40.706311, -74.006624]",starbucks
Starbucks Reserve,2527.0,10011,"[40.736623, -74.000708]",starbucks
Stuyvesant High School,713.0,10282,"[40.717978, -74.013896]",school
Battery Park City School,1314.0,10280,"[40.706445, -74.017539]",school
The New School,2478.0,10011,"[40.735535, -73.997085]",school
Avenues: The World School,3900.0,10001,"[40.749393, -74.003309]",school
Brooklyn Music School,3953.0,11217,"[40.686076, -73.977383]",school
The New School Auditorium at 66W 12th,2498.0,10011,"[40.735588, -73.99713]",school
HB Studio,2449.0,10014,"[40.73606, -74.007541]",school
The New School,2787.0,10011,"[40.737011, -73.992383]",school
Ps 343,710.0,10038,"[40.708647, -74.002047]",school
Elisabeth Irwin High School,1420.0,10014,"[40.726908, -74.004865]",school
Lrei,1726.0,10014,"[40.729362, -74.001906]",school
Ps 184 Shuang Wen,1747.0,10002,"[40.711412, -73.985616]",school
Grace Church High School,2019.0,10003,"[40.728679, -73.991313]",school
Nest,2292.0,10002,"[40.719394, -73.979599]",school
Public School 307,2437.0,11201,"[40.701757, -73.981703]",school
P.S. 41,2455.0,10011,"[40.735533, -73.999137]",school
Packer Collegiate Institute,2658.0,11201,"[40.692516, -73.992423]",school
High School for Health Professions and Human Services,2806.0,10003,"[40.732526, -73.982688]",school
