name,distance,zip_code,location,Type
Starbucks,1566.0,94303,"[37.447938, -122.126298]",starbucks
Starbucks,1628.0,94306,"[37.427314, -122.149185]",starbucks
Starbucks,1303.0,94306,"[37.426804, -122.144077]",starbucks
Starbucks,1984.0,94306,"[37.417438, -122.13053]",starbucks
Starbucks,2963.0,94303,"[37.461688, -122.137232]",starbucks
Starbucks,3589.0,94043,"[37.421896, -122.096431]",starbucks
Starbucks,3517.0,94304,"[37.443647, -122.171784]",starbucks
Starbucks,4342.0,94043,"[37.411431, -122.094274]",starbucks
Starbucks,4163.0,94040,"[37.401816, -122.111913]",starbucks
Starbucks,4380.0,94025,"[37.450846, -122.179059]",starbucks
Starbucks,5815.0,94025,"[37.423504, -122.197829]",starbucks
Starbucks,5970.0,94043,"[37.402943, -122.079347]",starbucks
Starbucks,4836.0,94025,"[37.452272, -122.183719]",starbucks
Starbucks,5983.0,94040,"[37.390938, -122.094708]",starbucks
Starbucks,5256.0,94025,"[37.480223, -122.151229]",starbucks
Starbucks,5378.0,94043,"[37.415763, -122.077554]",starbucks
Starbucks,3510.0,94305,"[37.424314, -122.170837]",starbucks
Starbucks,4041.0,94040,"[37.402802, -122.112325]",starbucks
Community School Of Music And Arts Finn Center,3663.0,94040,"[37.407385, -122.111079]",school
Jordan Middle School,419.0,94303,"[37.438477, -122.134642]",school
Stratford School - Palo Alto,656.0,94303,"[37.441307, -122.131795]",school
Ohlone Elementary School,1004.0,94303,"[37.439316, -122.122738]",school
El Carmelo Elementary School,1169.0,94306,"[37.425576, -122.130413]",school
Friends Nursery School,1190.0,94303,"[37.437943, -122.120443]",school
Khan Lab School,1318.0,94306,"[37.426572, -122.123528]",school
New Mozart School of Music,1625.0,94306,"[37.426332, -122.148271]",school
Palo Alto High School,1918.0,94301,"[37.436053, -122.155615]",school
Addison Elementary School,1932.0,94301,"[37.446036, -122.150881]",school
The Girls' Middle School,2090.0,94303,"[37.435467, -122.109927]",school
Fairmeadow Elementary School,2101.0,94306,"[37.422075, -122.117337]",school
Jane Lathrop Stanford Middle School,2127.0,94306,"[37.420438, -122.117746]",school
Advantage Aviation,2691.0,94303,"[37.453927, -122.114322]",school
West Valley Flying Club,2703.0,94303,"[37.454463, -122.115068]",school
Avery Aquatic Center,2429.0,94305,"[37.429469, -122.164474]",school
AJ Tutoring,1424.0,94306,"[37.426957, -122.146017]",school
Byers Eye Institute at Stanford,1951.0,94303,"[37.448496, -122.12046]",school
Palo Alto Community Child Care,1989.0,94306,"[37.417746, -122.128114]",school
Juana Briones Elementary School,3056.0,94306,"[37.407752, -122.130273]",school
Pre-School Family,3181.0,94303,"[37.417309, -122.105836]",school
Bowman International School,3625.0,94306,"[37.402722, -122.127774]",school
Henry M. Gunn High School,3719.0,94306,"[37.402682, -122.134139]",school
Stanford University School of Medicine Career Center,3741.0,94305,"[37.432007, -122.179426]",school
Menlo-Atherton High School,4690.0,94027,"[37.460972, -122.175051]",school
Nativity Elementary School,4988.0,94025,"[37.458282, -122.182198]",school
Crittenden Middle School,5017.0,94043,"[37.410937, -122.085301]",school
Oak Knoll Elementary School,5246.0,94025,"[37.430185, -122.192128]",school
Pinewood School - Upper Campus,5252.0,94022,"[37.387984, -122.142328]",school
Theuerkauf Elementary School,5456.0,94043,"[37.405389, -122.084492]",school
Menlo School,5464.0,94027,"[37.453352, -122.191722]",school
Hillview Middle School,5512.0,94025,"[37.439935, -122.195469]",school
Stevenson PACT School,5564.0,94043,"[37.403825, -122.083904]",school
Encinal Elementary School,5657.0,94027,"[37.464487, -122.186485]",school
Sacred Heart Schools,5705.0,94027,"[37.44799, -122.195997]",school
Los Altos High School,5859.0,94022,"[37.386743, -122.109068]",school
LAHS Administration Building,5959.0,94022,"[37.385385, -122.108349]",school
Frost Amphitheatre Gs,2906.0,94305,"[37.430474, -122.165961]",school
Arrillaga Outdoor Education and Recreation Center,3998.0,94305,"[37.426676, -122.17748]",school
Bing Concert Hall,2931.0,94305,"[37.43203, -122.166192]",school
Laird Q. Cagan Stadium At Maloney Field,2177.0,94305,"[37.433112, -122.158168]",school
Stanford Stadium,2427.0,94305,"[37.434483, -122.16116]",school
Maples Pavilion,2470.0,94305,"[37.42949, -122.160612]",school
Arrillaga Center for Sports & Recreation,2730.0,94305,"[37.429913, -122.163784]",school
Arbuckle Café,2683.0,94305,"[37.428289, -122.16269]",school
Stanford Graduate School of Business,2692.0,94305,"[37.428208, -122.161112]",school
Stanford Visitor Center,2696.0,94305,"[37.431528, -122.16366]",school
Graduate Community Center,2543.0,94305,"[37.423452, -122.158483]",school
John & Cynthia Fry Gunn Building,2897.0,94305,"[37.429124, -122.165599]",school
Frances C. Arrillaga Alumni Center,2786.0,94305,"[37.430688, -122.164829]",school
Friday Night Waltz,2586.0,94301,"[37.449338, -122.156792]",night_club
The Patio,2907.0,94301,"[37.445176, -122.163928]",night_club
Bachata Sentimiento,3670.0,94305,"[37.423219, -122.172349]",night_club
Pet Food Express,2708.0,94303,"[37.418863, -122.110145]",pet
Bow Wow Meow,4857.0,94025,"[37.452501, -122.184161]",pet
Palo Alto Animal Service,2103.0,94303,"[37.437866, -122.109846]",pet
PetSmart,3567.0,94043,"[37.422672, -122.096097]",pet
Banfield Pet Hospital,3590.0,94043,"[37.422869, -122.096127]",pet
Unleashed by Petco,4282.0,94025,"[37.44974, -122.178496]",pet
Allied Arts Guild,4074.0,94025,"[37.44148, -122.178959]",pet
