name,distance,zip_code,location,Type
Starbucks,1103.0,94102,"[37.777222, -122.41935]",starbucks
Starbucks,1598.0,94109,"[37.785916, -122.421011]",starbucks
Starbucks,1476.0,94114,"[37.761006, -122.434724]",starbucks
Starbucks,1659.0,94115,"[37.788569, -122.434572]",starbucks
Starbucks,974.0,94115,"[37.782793, -122.431506]",starbucks
Starbucks,1816.0,94115,"[37.790223, -122.433882]",starbucks
Starbucks,1328.0,94117,"[37.775689, -122.446208]",starbucks
Starbucks,597.0,94114,"[37.769066, -122.427755]",starbucks
Starbucks,3221.0,94129,"[37.799284, -122.449472]",starbucks
Starbucks,1530.0,94115,"[37.786046, -122.439798]",starbucks
Starbucks,2077.0,94103,"[37.766862, -122.409564]",starbucks
Starbucks,1045.0,94115,"[37.783438, -122.432906]",starbucks
Starbucks,2368.0,94103,"[37.783998, -122.407206]",starbucks
Starbucks,2356.0,94118,"[37.786161, -122.453208]",starbucks
Starbucks,1277.0,94102,"[37.777088, -122.417264]",starbucks
Starbucks,2444.0,94117,"[37.764164, -122.456344]",starbucks
Starbucks,2621.0,94102,"[37.789098, -122.408438]",starbucks
Starbucks,1652.0,94118,"[37.782009, -122.446439]",starbucks
Starbucks,1984.0,94109,"[37.790246, -122.422055]",starbucks
Starbucks,3365.0,94158,"[37.767121, -122.393738]",starbucks
Starbucks,3668.0,94105,"[37.788398, -122.393628]",starbucks
Starbucks,4156.0,94133,"[37.808488, -122.412881]",starbucks
Starbucks,2208.0,94110,"[37.762898, -122.410549]",starbucks
Starbucks,2635.0,94123,"[37.797552, -122.430301]",starbucks
Starbucks,2746.0,94108,"[37.789293, -122.406729]",starbucks
Starbucks,3763.0,94133,"[37.805311, -122.415131]",starbucks
Starbucks,2605.0,94102,"[37.786805, -122.407228]",starbucks
Starbucks,3402.0,94111,"[37.794601, -122.402669]",starbucks
Starbucks,3754.0,94111,"[37.793812, -122.396743]",starbucks
Starbucks,2624.0,94102,"[37.786145, -122.405612]",starbucks
Starbucks,2663.0,94109,"[37.796744, -122.422081]",starbucks
Starbucks,2606.0,94103,"[37.765796, -122.403409]",starbucks
Starbucks,2327.0,94102,"[37.787194, -122.410692]",starbucks
Starbucks,1807.0,94109,"[37.788625, -122.422318]",starbucks
Starbucks,3696.0,94158,"[37.771253, -122.38925]",starbucks
Starbucks,2481.0,94103,"[37.770294, -122.403435]",starbucks
Starbucks,3752.0,94127,"[37.744586, -122.452602]",starbucks
Starbucks,2892.0,94108,"[37.790448, -122.405722]",starbucks
Starbucks,3028.0,94123,"[37.800777, -122.438521]",starbucks
Starbucks,5277.0,94124,"[37.741145, -122.387696]",starbucks
Starbucks,3039.0,94108,"[37.790693, -122.403801]",starbucks
Starbucks,2655.0,94103,"[37.784199, -122.404135]",starbucks
Starbucks,3421.0,94131,"[37.743673, -122.438935]",starbucks
Starbucks,3101.0,94104,"[37.789534, -122.401869]",starbucks
Starbucks,3067.0,94105,"[37.787664, -122.401113]",starbucks
Starbucks,3398.0,94123,"[37.804503, -122.433796]",starbucks
Starbucks,3240.0,94122,"[37.764303, -122.466025]",starbucks
Starbucks,3168.0,94104,"[37.792975, -122.404294]",starbucks
Starbucks,4058.0,94111,"[37.802845, -122.40294]",starbucks
Starbucks Reserve,3723.0,94105,"[37.791487, -122.395101]",starbucks
Creative Arts Charter School,771.0,94115,"[37.779701, -122.436054]",school
French American International School,781.0,94117,"[37.771748, -122.439668]",school
Chinese American International School,819.0,94102,"[37.775313, -122.422104]",school
McKinley Elementary School,864.0,94114,"[37.766996, -122.436448]",school
San Francisco Friends School,933.0,94103,"[37.76897, -122.42302]",school
Jewish Community High School of the Bay,971.0,94115,"[37.781436, -122.436443]",school
CAIS Middle School Campus,1098.0,94102,"[37.781795, -122.423634]",school
Sanchez Elementary School,1139.0,94114,"[37.76353, -122.430509]",school
Children's Day School,1231.0,94110,"[37.764242, -122.425033]",school
San Francisco Day School,1376.0,94118,"[37.778004, -122.446273]",school
Mission High School,1427.0,94114,"[37.76165, -122.427317]",school
Presidio Knolls School,1556.0,94103,"[37.773203, -122.413809]",school
UCSF Mission Bay,3154.0,94158,"[37.768855, -122.395848]",school
La Petite Baleen Swim Schools,4812.0,94129,"[37.805384, -122.469116]",school
Sacred Heart Cathedral Preparatory,1214.0,94109,"[37.783248, -122.423434]",school
Lycee Francais La Perouse,1556.0,94117,"[37.768019, -122.446971]",school
NOPA Montessori,1756.0,94117,"[37.773474, -122.451236]",school
Drew School,1816.0,94115,"[37.787616, -122.442328]",school
La Scoula International School - Mission Campus,1863.0,94110,"[37.762229, -122.416314]",school
Grattan Elementary School,2022.0,94117,"[37.763664, -122.45051]",school
SF Public Montessori School Elementary School,2108.0,94115,"[37.79283, -122.433534]",school
Town School For Boys,2152.0,94115,"[37.791915, -122.440361]",school
Sls School,2165.0,94109,"[37.792051, -122.421947]",school
John O'Connell High School,2245.0,94110,"[37.759465, -122.414001]",school
Adda Clevenger School,2349.0,94110,"[37.753704, -122.42441]",school
George R Moscone Elementary School,2504.0,94110,"[37.756468, -122.412606]",school
Immaculate Conception Academy,2603.0,94110,"[37.751715, -122.423505]",school
Presidio Hill School,2715.0,94118,"[37.788581, -122.456147]",school
"Claire Lilienthal Elementary Schools, Madison Campus",2778.0,94118,"[37.787127, -122.458067]",school
Katherine Michiels School,2782.0,94110,"[37.749812, -122.422317]",school
Tule Elk Park EES Family Council,2839.0,94123,"[37.799316, -122.434564]",school
Koret Health and Recreation Center,2081.0,94117,"[37.776554, -122.450272]",school
The Civic Kitchen,2938.0,94110,"[37.749722, -122.417941]",school
Marina Children's Center,2978.0,94123,"[37.800803, -122.431354]",school
Live Oak School,3036.0,94107,"[37.763509, -122.399117]",school
Marina Middle School,3124.0,94123,"[37.801743, -122.436141]",school
Clarendon Alternative Elementary School,3124.0,94131,"[37.753697, -122.45608]",school
Jean Parker Elementary School,3175.0,94133,"[37.797687, -122.411024]",school
Galileo Academy of Science and Technology,3406.0,94109,"[37.803767, -122.424217]",school
Claire Lilienthal Alt Elem,3453.0,94123,"[37.803223, -122.443254]",school
Daniel Webster Elementary SCHL,3469.0,94107,"[37.760587, -122.395863]",school
Starr King Elementary School,3620.0,94107,"[37.753305, -122.399233]",school
Stratford School,3641.0,94118,"[37.775966, -122.47281]",school
The Bay School of San Francisco,3683.0,94129,"[37.800623, -122.455859]",school
Alice Fong Yu Alternative School,3732.0,94122,"[37.759335, -122.469455]",school
Garfield Elementary School,3788.0,94133,"[37.802003, -122.406691]",school
Argonne Elementary School,3937.0,94121,"[37.775329, -122.476426]",school
West Portal Elementary School,4466.0,94127,"[37.743277, -122.464559]",school
Big City Montessori School,4540.0,94124,"[37.738615, -122.405462]",school
Little Star Preschool Too,4954.0,94116,"[37.748428, -122.477473]",school
Madrone Art Bar,538.0,94117,"[37.774237, -122.43745]",night_club
Jolene's Bar,1838.0,94103,"[37.765684, -122.413437]",night_club
The Great Northern,2302.0,94103,"[37.768066, -122.406625]",night_club
Cat Club,1885.0,94103,"[37.775329, -122.40992]",night_club
Underground SF,252.0,94117,"[37.772469, -122.42939]",night_club
9:20 Special,1517.0,94115,"[37.785346, -122.440832]",night_club
Club Six,2083.0,94103,"[37.781498, -122.409567]",night_club
F8 1192 Folsom,1878.0,94103,"[37.775284, -122.409994]",night_club
Audio Nightclub,1560.0,94103,"[37.7715, -122.413852]",night_club
Sundance Saloon,4460.0,94124,"[37.739879, -122.404749]",night_club
Danzhaus Aka The Gingerbread House,4053.0,94107,"[37.750177, -122.39611]",night_club
Breakfast of Champions,2255.0,94158,"[37.765441, -122.386615]",night_club
Halcyon,1550.0,94103,"[37.771424, -122.41399]",night_club
DNA Lounge,1668.0,94103,"[37.77104, -122.412606]",night_club
Pura Club,2291.0,94103,"[37.778128, -122.405784]",night_club
Death Guild,1666.0,94103,"[37.771002, -122.412675]",night_club
Bootie San Francisco,1656.0,94103,"[37.770975, -122.412602]",night_club
1015 Folsom,2290.0,94103,"[37.778128, -122.405784]",night_club
Power Exchange,1950.0,94102,"[37.783421, -122.41219]",night_club
Raven Bar,1984.0,94103,"[37.775676, -122.408794]",night_club
Omg,2079.0,94103,"[37.78178, -122.409297]",night_club
Love + Propaganda,2706.0,94108,"[37.788746, -122.406625]",night_club
Beauty Bar,1859.0,94110,"[37.760385, -122.419072]",night_club
Space 550,4449.0,94124,"[37.739879, -122.404749]",night_club
Verso,1222.0,94103,"[37.773749, -122.417353]",night_club
Milk Bar,1949.0,94117,"[37.769544, -122.452651]",night_club
Temple Nightclub,3368.0,94105,"[37.787893, -122.397255]",night_club
Fringe MadroneArtBar,535.0,94117,"[37.774302, -122.437454]",night_club
DJ San Fran's,557.0,94111,"[37.772992, -122.425121]",night_club
The Endup,2430.0,94103,"[37.777304, -122.403729]",night_club
Home,1401.0,94114,"[37.761503, -122.428813]",night_club
Halycon,1553.0,94103,"[37.771424, -122.41399]",night_club
YOLO Night Club,1607.0,94103,"[37.771544, -122.413281]",night_club
Fancypants Village,1671.0,94103,"[37.771143, -122.41254]",night_club
Hubba Hubba Revue,1673.0,94103,"[37.771002, -122.412675]",night_club
Mayes Oyster House,1866.0,94109,"[37.788312, -122.420436]",night_club
570 Jessie,2053.0,94103,"[37.78082, -122.410316]",night_club
The Record Bar,2134.0,94102,"[37.784045, -122.410434]",night_club
Arena SF,2283.0,94110,"[37.756097, -122.418317]",night_club
Real Bad,2292.0,94103,"[37.778128, -122.405784]",night_club
Castle SF,2347.0,94103,"[37.767811, -122.406108]",night_club
Mission Fusion,2861.0,94107,"[37.763183, -122.401678]",night_club
26 Mix,3025.0,94110,"[37.748648, -122.418307]",night_club
Harlot,3326.0,94105,"[37.78857, -122.398227]",night_club
City Nights,3096.0,94107,"[37.782076, -122.397701]",night_club
Dateway,3391.0,94123,"[37.804542, -122.432866]",night_club
Avantine,3478.0,94111,"[37.795788, -122.402954]",night_club
Keys Jazz Bistro,3541.0,94133,"[37.798291, -122.405253]",night_club
The Firehouse,3623.0,94109,"[37.805135, -122.419136]",night_club
Jelly's,3856.0,94158,"[37.774316, -122.387208]",night_club
Pet Food Express,686.0,94103,"[37.769316, -122.426193]",pet
Noe Valley Pet Company,2947.0,94131,"[37.747604, -122.426844]",pet
Wag Hotels San Francisco,1615.0,94103,"[37.768475, -122.414103]",pet
Pet Food Express,1992.0,94115,"[37.787635, -122.446343]",pet
Village Pets & Supplies,2219.0,94109,"[37.790433, -122.417048]",pet
Animal House,325.0,94117,"[37.771016, -122.430451]",pet
Pawtrero Hill BathHouse & Feed,3412.0,94107,"[37.764155, -122.394496]",pet
Mr. Muggles' Dogs,2074.0,94110,"[37.76216, -122.412512]",pet
Jeffrey's Natural Pet Foods,1070.0,94114,"[37.76452, -122.433363]",pet
SF Puppy Prep,2275.0,94103,"[37.779277, -122.406139]",pet
Pet Central,3205.0,94133,"[37.797563, -122.410515]",pet
The Dog Barber,665.0,94103,"[37.770428, -122.424897]",pet
George,1781.0,94115,"[37.789973, -122.434584]",pet
Bow Wow Meow,2646.0,94109,"[37.796647, -122.421645]",pet
Pet's Corner,2566.0,94118,"[37.78097, -122.459134]",pet
Pawtrero Hill BathHouse & Feed,3844.0,94107,"[37.783786, -122.389414]",pet
VCA All Pets Hospital,1334.0,94103,"[37.768956, -122.417643]",pet
High Tail Hotel,4640.0,94124,"[37.738616, -122.402883]",pet
Wags Pet Wash & Boutique,2371.0,94109,"[37.793688, -122.42104]",pet
Pet Camp,5125.0,94124,"[37.741817, -122.389169]",pet
Black Nose Trading Company,544.0,94117,"[37.77292, -122.437157]",pet
Bernal Beast,4095.0,94110,"[37.73922, -122.416389]",pet
Yap Stores,3616.0,94109,"[37.805789, -122.422975]",pet
Jeffrey's Natural Pet Foods,3544.0,94133,"[37.801681, -122.411332]",pet
Upper Douglass Dog Park,3123.0,94131,"[37.7464, -122.437879]",pet
Le Marcel Bakery For Dogs,2606.0,94123,"[37.797583, -122.433314]",pet
PetSmart,1612.0,94118,"[37.782025, -122.446655]",pet
Bernie's Grooming City Dogs,3856.0,94107,"[37.783786, -122.389414]",pet
Pets Unlimited,1949.0,94115,"[37.791312, -122.434591]",pet
Cole Valley Pets,1880.0,94117,"[37.765524, -122.449689]",pet
Healthy Spot,3471.0,94158,"[37.772564, -122.391765]",pet
Green Pawz,2048.0,94117,"[37.767782, -122.453048]",pet
6th Ave Aquarium and Flowers,3030.0,94118,"[37.782662, -122.463893]",pet
Groom,3487.0,94118,"[37.782896, -122.469353]",pet
Cal's Pet Supply,4574.0,94121,"[37.784212, -122.481542]",pet
Alamo Square,209.0,94117,"[37.775519, -122.432652]",pet
Duboce Park,509.0,94117,"[37.7698, -122.433532]",pet
Toronado,225.0,94117,"[37.771845, -122.431145]",pet
Mission Dolores Park,1596.0,94114,"[37.759655, -122.426912]",pet
Animal Connection The,5320.0,94122,"[37.761338, -122.489705]",pet
Petco,2037.0,94103,"[37.766509, -122.410332]",pet
Randall Museum,1227.0,94114,"[37.764474, -122.438233]",pet
Yerba Buena Gardens,2797.0,94103,"[37.784655, -122.402441]",pet
SOMA StrEat Food Park,1782.0,94103,"[37.769745, -122.412028]",pet
Pet's Corner,3229.0,94122,"[37.765268, -122.466226]",pet
Simple Pleasures Cafe,5670.0,94121,"[37.775992, -122.495811]",pet
Fitness Sf Soma,2203.0,94103,"[37.76954, -122.406998]",pet
El Rio,3188.0,94110,"[37.74682, -122.419561]",pet
Pet Mercantile,300.0,94117,"[37.771341, -122.43047]",pet
Kate's Cat & Dog Salon,689.0,94117,"[37.776616, -122.438379]",pet
Berry Basketball Courts,2939.0,94158,"[37.77208, -122.397686]",basketball_court
J.P. Murphy Playground,3887.0,94116,"[37.751685, -122.465274]",basketball_court
Golden Gate Park Panhandle Basketball Courts,971.0,94117,"[37.77189, -122.445911]",basketball_court
Hamilton Basketball Courts,1246.0,94115,"[37.785284, -122.435668]",basketball_court
City College: Community Health & Wellness Center,5777.0,94112,"[37.723909, -122.449512]",basketball_court
Dolores Park Basketball Courts,1469.0,94103,"[37.761189, -122.427791]",basketball_court
Nate Thurmond Basketball Court,1527.0,94117,"[37.772186, -122.448436]",basketball_court
Soma Rec Center,2261.0,94109,"[37.778838, -122.406328]",basketball_court
NBA Nation,2273.0,94110,"[37.759168, -122.412335]",basketball_court
Al Kerr Court,2615.0,94143,"[37.763674, -122.459324]",basketball_court
Alice Marble Basketball Court,3206.0,94109,"[37.801449, -122.420352]",basketball_court
Bay City Basketball Headquarters,3354.0,94118,"[37.781075, -122.468385]",basketball_court
Bernal Heights Recreation Center,4188.0,94110,"[37.73832, -122.416193]",basketball_court
Baker Beach half court,4727.0,94129,"[37.791615, -122.480407]",basketball_court
Kezar Pavilion,2111.0,94117,"[37.767456, -122.453888]",basketball_court
Mission Dolores Park,1596.0,94114,"[37.759655, -122.426912]",basketball_court
Basketball Court,1709.0,94102,"[37.781084, -122.414131]",basketball_court
Empower ME Academy,1731.0,94115,"[37.784329, -122.446004]",basketball_court
Jose Coronado Playground,2325.0,94110,"[37.757714, -122.415116]",basketball_court
She Got Game Basketball Camp San Francisco,1718.0,94115,"[37.784237, -122.445927]",basketball_court
Panhandle Basketball Courts,2013.0,94117,"[37.768969, -122.453333]",basketball_court
Joe Dimaggio Playground Clbhs,3560.0,94133,"[37.802749, -122.412327]",basketball_court
Mission Creek Park,3281.0,94158,"[37.770963, -122.398624]",basketball_court
Upper Noe Recreation Center,3505.0,94131,"[37.742637, -122.428557]",basketball_court
JCC Fitness Center,2057.0,94118,"[37.787325, -122.4474]",basketball_court
Chase Center Stadium,3909.0,94158,"[37.767924, -122.387478]",basketball_court
Noe Court Playground,2600.0,94114,"[37.751165, -122.438376]",basketball_court
Equinox Sports Club San Francisco,2737.0,94103,"[37.786373, -122.404335]",basketball_court
Christopher Playground,3473.0,94131,"[37.743635, -122.439005]",basketball_court
Sunnyside Recreation Center,4706.0,94127,"[37.73366, -122.445936]",basketball_court
Alice Marble Tennis Courts,3195.0,94109,"[37.801168, -122.419762]",basketball_court
Millberry Fitness & Recreation Center,2638.0,94143,"[37.763804, -122.459332]",basketball_court
Alta Plaza,2040.0,94115,"[37.791124, -122.439598]",basketball_court
Aptos Park,5932.0,94127,"[37.728741, -122.466201]",basketball_court
Larsen Park,5436.0,94116,"[37.737755, -122.47562]",basketball_court
Miraloma Playground,4211.0,94127,"[37.73863, -122.449741]",basketball_court
United Club,3924.0,94158,"[37.767832, -122.387401]",basketball_court
USF - War Memorial Gymnasium,1625.0,94118,"[37.778096, -122.445491]",basketball_court
Urban Knights,2114.0,94117,"[37.767521, -122.453892]",basketball_court
Pet Food Express,686.0,94103,"[37.769316, -122.426193]",pet_grooming
Jeffrey's Natural Pet Foods,1070.0,94114,"[37.76452, -122.433363]",pet_grooming
Pet Food Express,1992.0,94115,"[37.787635, -122.446343]",pet_grooming
The Refinery Grooming Club,2301.0,94110,"[37.75575, -122.418583]",pet_grooming
Arguello Pet Hospital,2526.0,94118,"[37.780688, -122.458544]",pet_grooming
Maddie's Pet Adoption Center,1882.0,94103,"[37.76621, -122.412106]",pet_grooming
Noe Valley Pet Company,2947.0,94131,"[37.747604, -122.426844]",pet_grooming
Wags Pet Wash & Boutique,2371.0,94109,"[37.793688, -122.42104]",pet_grooming
Pet Mercantile,300.0,94117,"[37.771341, -122.43047]",pet_grooming
Jeffrey's Natural Pet Foods,3544.0,94133,"[37.801681, -122.411332]",pet_grooming
Blue Cross Pet Hospital,640.0,94115,"[37.779519, -122.433319]",pet_grooming
Bernie's Grooming City Dogs,3856.0,94107,"[37.783786, -122.389414]",pet_grooming
