,Name,Founded year,Total Funding Amount,Funding Rounds,Funding currency code,Total Employees,First Office,City,Location
0,Open Places,2008,1100000,4,['USD'],3,"{'description': 'San Francisco Office', 'address1': '616 Arkansas St', 'address2': '', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.758352, 'longitude': -122.398379}",San Francisco,"{'type': 'Point', 'coordinates': [-122.398379, 37.758352]}"
1,AdRocket,2008,1000000,1,['USD'],5,"{'description': 'AdRocket Headquarters', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}",San Francisco,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
2,EQAL,2008,6875000,2,['USD'],75,"{'description': '', 'address1': '5250 Lankershim Blvd., Ste 720', 'address2': '', 'zip_code': '91601', 'city': 'North Hollywood', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",North Hollywood,"{'type': 'Point', 'coordinates': [None, None]}"
3,Mashape,2010,1601000,2,['USD'],15,"{'description': 'Mashape Lair', 'address1': '433 Bryant St.', 'address2': '', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
4,Home-Account,2008,1000000,2,['USD'],10,"{'description': '', 'address1': '188 King Street', 'address2': '', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.778551, 'longitude': -122.391686}",San Francisco,"{'type': 'Point', 'coordinates': [-122.391686, 37.778551]}"
5,SCVNGR,2008,40785000,6,['USD'],60,"{'description': 'SCVNGR', 'address1': 'One Congress', 'address2': 'Suite 111', 'zip_code': '021114', 'city': 'Boston', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.3406534, 'longitude': -71.0680027}",Boston,"{'type': 'Point', 'coordinates': [-71.0680027, 42.3406534]}"
6,Samasource,2008,1207200,9,['USD'],25,"{'description': 'Headquarters', 'address1': '2017 Mission Street', 'address2': 'Suite 301', 'zip_code': '94110', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.778991, 'longitude': -122.401803}",San Francisco,"{'type': 'Point', 'coordinates': [-122.401803, 37.778991]}"
7,Audiolife,2008,4500000,2,['USD'],11,"{'description': 'Company Headquarters', 'address1': '15912 Arminta St.', 'address2': '', 'zip_code': '91406', 'city': 'Van Nuys', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.213925, 'longitude': -118.487236}",Van Nuys,"{'type': 'Point', 'coordinates': [-118.487236, 34.213925]}"
8,ClickFuel,2009,9000000,3,['USD'],20,"{'description': 'ClickFuel', 'address1': '7 New England Executive Park', 'address2': 'Suite 130', 'zip_code': '01803', 'city': 'Burlington', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.3406534, 'longitude': -71.0680027}",Burlington,"{'type': 'Point', 'coordinates': [-71.0680027, 42.3406534]}"
9,Solix Biofuels,2009,68800000,7,['USD'],50,"{'description': 'Solix Biofuels', 'address1': '430 B. North College Ave.', 'address2': '', 'zip_code': '80524', 'city': 'Fort Collins', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 40.5932386, 'longitude': -105.0766501}",Fort Collins,"{'type': 'Point', 'coordinates': [-105.0766501, 40.5932386]}"
10,RJMetrics,2008,7450000,2,['USD'],20,"{'description': '', 'address1': '1315 Walnut Street Suite 1532', 'address2': '', 'zip_code': '19107', 'city': 'Philadelphia', 'state_code': 'PA', 'country_code': 'USA', 'latitude': 39.9443552, 'longitude': -75.1257381}",Philadelphia,"{'type': 'Point', 'coordinates': [-75.1257381, 39.9443552]}"
11,Pixelpipe,2008,2300000,2,"[None, 'USD']",10,"{'description': 'World Headquarters', 'address1': '321 7th St', 'address2': '', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.764395, 'longitude': -122.401024}",San Francisco,"{'type': 'Point', 'coordinates': [-122.401024, 37.764395]}"
12,Optify,2008,10849999,3,['USD'],45,"{'description': 'Optify HQ', 'address1': '710 2nd Avenue', 'address2': 'Suite 840', 'zip_code': '98104', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.603364, 'longitude': -122.333359}",Seattle,"{'type': 'Point', 'coordinates': [-122.333359, 47.603364]}"
13,Cotendo,2008,36000000,4,"[None, 'USD']",30,"{'description': 'EMEA', 'address1': '4 Hagavish St., Entry A, Second Floor', 'address2': 'P.O.Box 8897', 'zip_code': '42507', 'city': 'Netanya', 'state_code': None, 'country_code': 'ISR', 'latitude': None, 'longitude': None}",Netanya,"{'type': 'Point', 'coordinates': [None, None]}"
